business name,distance in miles,phone number,category,address,address 2,address 3,city,state,zip
Wintersprings Dental Excellence,11.8,+14076961325,General Dentistry,1008 Willa Springs Dr,,,Winter Springs,FL,32708
Coast Dental,12.45,+14078312255,"General Dentistry,Orthodontists,Cosmetic Dentists",3385 S US Hwy 17/92,Ste 221,,Casselberry,FL,32707
Aloma Dental Center,13.58,+14079711116,"General Dentistry,Cosmetic Dentists",1460 E Red Bug Rd,,,Oviedo,FL,32765
Nitisusanta Jonathan M DDS,10.27,+14078779003,"Oral Surgeons,General Dentistry",2704 Rew Cir,Ste 103,,Ocoee,FL,34761
Yao Effie C DDS PA,17.66,+14073330881,General Dentistry,4106 W Lake Mary Blvd,Ste 230,,Lake Mary,FL,32746
Greenberg Dental Associates,13.62,+14079338686,"Orthodontists,Endodontists,Cosmetic Dentists",1379 East Vine St,,,kissimmee,FL,34744
Lake Mary Modern Dentistry,17.5,+14075471359,"Oral Surgeons,General Dentistry,Cosmetic Dentists",3779 Lake Emma Rd,,,Lake Mary,FL,32746
Apopka Dentist: Cristene Maas DDS,12.51,+14077922409,General Dentistry,3030 E Semoran Blvd,Ste 200,,Apopka,FL,32703
Hamlin Groves Dental Care,15.36,+14075542335,"General Dentistry,Endodontists,Cosmetic Dentists",16412 New Independence Pkwy,Ste 100,,Winter Garden,FL,34787
Orlando Oral and Facial Surgery,9.7,+14075220464,Oral Surgeons,10131 W Colonial Dr,,,Ocoee,FL,34761
Coast Dental & Orthodontics - Kissimmee,15.46,+14079351772,"General Dentistry,Endodontists,Cosmetic Dentists",2310 E Irlo Bronson Memorial Hwy,Ste C-106,,Kissimmee,FL,34744
Pediatric Dentistry of Central Florida,19.37,+14075938900,"Orthodontists,Pediatric Dentists",3109 Innovation Dr,,,Saint Cloud,FL,34772
Lakeside Family Dentistry,11.63,+14077746622,"General Dentistry,Endodontists,Cosmetic Dentists",1022 W State Road 436,Ste 1008,,Altamonte Springs,FL,32714
Rg Dental,10.99,+14076783330,General Dentistry,3228 W State Road 426,,,Oviedo,FL,32765
"Richard Petrilli, DMD, PA",16.26,+14078841846,"General Dentistry,Cosmetic Dentists",1585 Rock Springs Rd,,,Apopka,FL,32712
"Bertot A Carlos, DMD",9.77,+14076282286,Pediatric Dentists,1650 N Maitland Ave,,,Maitland,FL,32751
Orlando Oral and Facial Surgery,12.22,+14076958200,Oral Surgeons,5745 Canton Cv,Ste 101,,Winter Springs,FL,32708
"Jonathan W. Preble, DMD FICOI",11.59,+14078313959,"General Dentistry,Cosmetic Dentists,Orthodontists",499 E Central Pkwy,Ste 220,,Altamonte Springs,FL,32701
Bright Now! Dental,11.42,+14077021011,"Cosmetic Dentists,General Dentistry,Orthodontists",745 W Osceola Pkwy,,,Kissimmee,FL,34741
Towncare Dental of Clermont,21.41,+13524321960,"General Dentistry,Cosmetic Dentists,Periodontists",1645 E Hwy 50,Ste 100,,Clermont,FL,34711
Coast Dental,11.08,+14078622211,"General Dentistry,Orthodontists",520 Florida 436,Ste 1118,,Altamonte Springs,FL,32714
Bhatheja Ramesh C BDS,10.71,+14076561121,General Dentistry,11140 W Colonial Dr,Ste 7,,Ocoee,FL,34761
Velazquez Anaura Tirado DDS,11.29,+14073439800,Oral Surgeons,3066 Michigan Ave,,,Kissimmee,FL,34744
"Zullo Richard J, DDS PA",13.53,+14073326060,General Dentistry,1385 W State Road 434,Ste 203,,Longwood,FL,32750
Smith & Weeks Orthodontic Specialists,12.05,+14076991102,Orthodontists,1350 Tuskawilla Rd,,,Winter Springs,FL,32708
Derrick Dental Care,12.99,+14077888400,General Dentistry,2633 W State Road 434,,,Longwood,FL,32779
"Gregory J. Jann, DDS",15.26,+14073653513,"General Dentistry,Periodontists,Cosmetic Dentists",258 Plaza Dr,,,Oviedo,FL,32765
Smile Design Studio,17.38,+14078040770,"General Dentistry,Teeth Whitening",1331 S International Pkwy,Ste 2271,,Lake Mary,FL,32746
"T J Dorsey, DDS",9.75,+14072956993,Cosmetic Dentists,10169 W Colonial Dr,,Colonial Drive Family Dentistry,Ocoee,FL,34761
Cosmetic and Restorative Dentistry of Lake Mary Pl,19.06,+14078058808,Dentists,737 Stirling Center Pl,Ste 1801,,Lake Mary,FL,32746
Dentures & Dental Implants by Dr. Kasem,11.52,+14076564702,"General Dentistry,Orthodontists,Cosmetic Dentists",242 Taylor St,,,Ocoee,FL,34761
Towncare Dental of Altamonte Springs,12.39,+14072781210,"Cosmetic Dentists,General Dentistry",820 State Rd 434 N,Ste B,,Altamonte Springs,FL,32714
"David Donald, DDS PA",13.14,+13212957893,Pediatric Dentists,365 Wekiva Springs Rd,Ste 121,,Longwood,FL,32779
Glow Dental Studio,17.7,+14078049901,"Cosmetic Dentists,General Dentistry",758 N Sun Dr,Ste 100,,Lake Mary,FL,32746
Aspen Dental,17.7,+13218053071,"General Dentistry,Oral Surgeons,Cosmetic Dentists",4301 13th St,,,Saint Cloud,FL,34769
"Hernandez Frank, DMD",9.7,+14072947558,Endodontists,10125 W Colonial Dr,Ste 208,,Ocoee,FL,34761
Williston Family Dental,18.79,+14078338660,"General Dentistry,Periodontists,Cosmetic Dentists",910 Williston Park,Ste 2000,,Lake Mary,FL,32746
Elite Dental,11.57,+14077865559,"General Dentistry,Endodontists,Cosmetic Dentists",851 W State Rd 436,Ste 1021,,Altamonte Springs,FL,32714
Dental Associates of Lake Mary,17.44,+14078292123,General Dentistry,1301 S International Pkwy,,,Lake Mary,FL,32746
Davenport Dentist Group,28.32,+18634963111,"General Dentistry,Cosmetic Dentists",2213 North Blvd W,,,Davenport,FL,33837
"Troy L. King, D.D.S",14.67,+14079779990,Pediatric Dentists,1390 City View Ctr,,,Oviedo,FL,32765
Affinity Dental Group,13.94,+14079325001,"Cosmetic Dentists,General Dentistry,Endodontists",607 Oak Commons Blvd,,,Kissimmee,FL,34741
Greenberg Dental & Orthodontics,12.81,+14079059622,General Dentistry,13361 W Colonial Dr,,,Winter Garden,FL,34787
"Stephen B Seidler, DDS",21.45,+14073201700,"Cosmetic Dentists,Oral Surgeons",4942 W Sr 46,Ste 1038,,Sanford,FL,32771
Palm Springs Dental Associates,11.59,+14078313959,"Orthodontists,Cosmetic Dentists,Endodontists",499 E Central Pkwy,Ste 200,,Altamonte Springs,FL,32701
Greenberg Dental,10.59,+14077677600,Orthodontists,879 State Road 436,,,Casselberry,FL,32707
Coast Dental,13.12,+14073961288,"Orthodontists,Endodontists,Cosmetic Dentists",2907 Vineland Rd,,,Kissimmee,FL,34746
"Altamonte Mall Dental, P.A",11.39,+14072610201,General Dentistry,451 E Altamonte Dr,Ste 1279,Altamonte Mall,Altamonte Springs,FL,32701
James Ho,17.5,+14073221688,Dentists,430 Waymount Ct,,,Lake Mary,FL,32746
Bright Now! Dental,20.72,+14075472230,"General Dentistry,Cosmetic Dentists,Orthodontists",1601 Wp Ball Blvd,,,Sanford,FL,32771
Greenberg Dental & Orthodontics,13.42,+14073474865,"Orthodontists,Cosmetic Dentists,General Dentistry",5043 W Irlo Bronson Hwy,,,Kissimmee,FL,34746
Central Florida Dental Group,21.3,+14076544024,"General Dentistry,Cosmetic Dentists,Endodontists",1804 Oakley Seaver Dr,Ste G,,Clermont,FL,34711
Apopka Endodontics,12.92,+14079304496,Endodontists,2438 E Semoran Blvd,,,Apopka,FL,32703
Wayside Family Dental,21.17,+14077324570,"Cosmetic Dentists,General Dentistry,Oral Surgeons",4907 International Pkwy,,,Sanford,FL,32771
Advanced Endodontics,21.47,+13524045550,Endodontists,1471 Johns Lake Rd,Ste 1,,Clermont,FL,34711
New Smile Dentistry  - Altamonte Springs,11.13,+14077678000,"Cosmetic Dentists,Oral Surgeons,General Dentistry",512 E Altamonte Dr,,,Altamonte Springs,FL,32701
Porter Orthodontics,12.71,+14078344500,Orthodontists,1097 Douglas Ave,,,Altamonte Springs,FL,32714
Oviedo Dental Center,13.53,+14073662363,General Dentistry,2959 Alafaya Trl,Ste 109,,Oviedo,FL,32765
Haines City Dental,28.54,+18634228338,"General Dentistry,Cosmetic Dentists",35914 Hwy 27 S,Ste 2B,,Haines City,FL,33844
Rawle Orthodontics,12.5,+14076821818,Orthodontists,903 N State Rd 434,,,Altamonte Springs,FL,32714
Prestige Dental,14.18,+14079350027,General Dentistry,312 W Bass St,,,Kissimmee,FL,34741
"John Nguyen, DMD PA - Winter Springs Dentistry",15.18,+14073272015,"General Dentistry,Orthodontists",1196 E State Rd 434,,,Winter Springs,FL,32708
Caissie Travis Dr,18.69,+14073333448,General Dentistry,440 St Charles Ct,,,Lake Mary,FL,32746
Professional Smiles,25.25,+18638521198,"Cosmetic Dentists,General Dentistry,Endodontists",2300 Deer Creek Commerce Ln,Ste 500,,Davenport,FL,33837
Cade Orthodontics,12.8,+14076560990,Orthodontists,3311 Daniels Rd,,,Winter Garden,FL,34787
A Soft Touch In Family Dental Care,15.99,+14078894868,General Dentistry,450 Errol Pkwy,,,Apopka,FL,32712
Orlando Oral and Facial Surgery,7.17,+14076294444,Oral Surgeons,2045 Lee Rd,,,Winter Park,FL,32789
Verardi Dr Mary DDS,19.53,+14076889901,General Dentistry,917 Rinehart Rd,,,Lake Mary,FL,32746
Shannon Orthodontics,27.46,+18633536867,Orthodontists,39863 US Hwy 27,,,Davenport,FL,33837
Narvaez Jenny DDS,13.24,+14073909113,General Dentistry,2916 Vineland Rd,,,Kissimmee,FL,34746
Coast Dental,16.16,+14072780934,"General Dentistry,Pediatric Dentists,Cosmetic Dentists",1013 Lockwood Blvd,Unit 7,,Oviedo,FL,32765
Sanford Dental,18.79,+14073213820,General Dentistry,3607 S Orlando Dr,,,Sanford,FL,32773
Oral & Facial Surgeons of Mid Florida,6.34,+14076440224,Oral Surgeons,1573 W Fairbanks Ave,Ste 300,,Winter Park,FL,32789
Coast Dental,13.5,+14078892555,"General Dentistry,Oral Surgeons,Cosmetic Dentists",767 S Orange Blossom Trl,,,Apopka,FL,32703
Fischer Robert DDS,14.0,+14079313733,Oral Surgeons,595 Oak Commons Blvd,,,Kissimmee,FL,34741
Costas Jose DMD Ms,10.93,+14076826474,Endodontists,225 S Westmonte Dr,,,Altamonte Springs,FL,32714
"M A Kasem, BDS",11.52,+13522437700,General Dentistry,242 Taylor St,,,Ocoee,FL,34761
Orlando Endodontic Specialists-North,12.94,+14077888880,Endodontists,2855 W State R 434,Ste 1021,,Longwood,FL,32779
Kasem M A Dr,11.52,+14076564702,General Dentistry,242 Taylor St,,,Ocoee,FL,34761
Citrus Grove Dental,20.26,,"General Dentistry,Dental Hygienists",266 N Hancock Rd,,,Clermont,FL,34711
Sanford Dental Excellence,21.49,+14073201700,"General Dentistry,Cosmetic Dentists,Endodontists",4942 W SR 46,Ste 1038,,Sanford,FL,32771
Lake Mary Pediatric Dentistry,19.23,+14079420225,Pediatric Dentists,974 International Pkwy,,,Lake Mary,FL,32746
"Harvey Kansol,DDS",17.78,+14073232300,General Dentistry,3098 W Lake Mary Blvd,,,Lake Mary,FL,32746
Tooth Acres,27.35,+13523834414,General Dentistry,110 Waterman Ave,,,Mt Dora,FL,32757
Coast Dental & Orthodontics - Lake Mary,17.87,+14073286411,"General Dentistry,Orthodontists,Cosmetic Dentists",2500 W Lake Mary Blvd,Ste 106,,Lake Mary,FL,32746
Clermont Endodontic Specialist,22.05,+13523940150,Endodontists,265 Hatteras Ave,Ste 2,,Clermont,FL,34711
Robbins Charles M DDS,14.0,+14078477744,Pediatric Dentists,405 W Oak St,,,Kissimmee,FL,34741
"Lopez Michael, DDS, PA",13.64,+14072601221,"General Dentistry,Cosmetic Dentists",225 W State Rd 434,Ste 101,,Longwood,FL,32750
Lake Mary Dental PA,17.07,+14073303801,General Dentistry,114 Timberlachen Cir,,,Lake Mary,FL,32746
Hall Steven M DMD PA,15.3,+14073651242,General Dentistry,252 Plaza Dr,,,Oviedo,FL,32765
"Ali Behzadi, DMD",10.84,+14078314077,Pediatric Dentists,515 State Rd 436,Ste 1010,,Casselberry,FL,32707
Winning Smiles Orthodontics,14.59,+14075420938,Orthodontists,83 Alafaya Woods Blvd,,,Oviedo,FL,32765
Magee Dental,12.07,+13212034539,"Periodontists,Cosmetic Dentists",5892 Red Bug Lake Rd,,,Winter Springs,FL,32708
Florida Oral Surgery,21.05,+14073303250,"Oral Surgeons,IV Hydration,Anesthesiologists",205 Bellagio Cir,,,Sanford,FL,32771
Dental SPA,21.25,+14073303601,"Cosmetic Dentists,General Dentistry",205 Towne Center Blvd,,,Sanford,FL,32771
Lach Orthodontic Specialists,12.91,+14073591960,"Orthodontists,Pediatric Dentists,General Dentistry",4250 Alafaya Trl,Ste 180,,Oviedo,FL,32765
"Suraiya A Kasu, DDS",14.06,+14078462494,"General Dentistry,Oral Surgeons,Orthodontists",801 W Oak St,Ste 102,,Kissimmee,FL,34741
Pyle Kenneth DDS,17.07,+14073303801,Oral Surgeons,114 Timberlachen Cir,,,Lake Mary,FL,32746
Foster Robert H DDS,14.37,+14076563880,Oral Surgeons,210 Temple Grove Dr,,,Winter Garden,FL,34787
Oral Surgery Center of West Orlando,11.75,+14076569455,"Oral Surgeons,Cosmetic Dentists",12200 W Colonial Dr,,,Winter Garden,FL,34787
Ogden Orthodontics,10.02,+14079093003,Orthodontists,1805 Maguire Rd,Ste 101,,Windermere,FL,34786
"Charles R McNamara, DMD",12.98,+14077743399,Oral Surgeons,195 Briarcliff Dr,Ste 115,,Longwood,FL,32779
Clermont Pediatric Dentistry,21.37,+13522416333,Pediatric Dentists,3165 Citrus Tower Blvd,,,Clermont,FL,34711
Lawton Orthodontics,13.42,+14077060003,Orthodontists,2984 Alafaya Trl,,,Oviedo,FL,32765
Winter Springs Endodontics,12.22,+14076960053,Endodontists,5738 Canton Cv,Ste 100,,Winter Springs,FL,32708
"Ricardo L Duran, DDS",27.51,+13527355000,General Dentistry,18766 US Highway 441,,,Mount Dora,FL,32757
Smiles Abroad,19.34,+14073144455,"Oral Surgeons,General Dentistry",809 Rinehart Rd,,,Lake Mary,FL,32746
Precision Smiles Dental,19.11,+14079155421,"Cosmetic Dentists,General Dentistry",752 Stirling Center Pl,,Ste 1000,Lake Mary,FL,32746
Aspen Dental,21.9,+13524045754,"General Dentistry,Oral Surgeons,Cosmetic Dentists",2501 S Hwy 27,,,Clermont,FL,34711
Greenberg Dental Associates,13.03,+14078894360,Orthodontists,2216 E Semoran Blvd,,,Apopka,FL,32703
Brown Randall C DMD,20.58,+14073235650,General Dentistry,902 W 25th St,,,Sanford,FL,32771
"Steven Hochfelder, DMD",17.59,+14073218900,"Cosmetic Dentists,Endodontists,Periodontists",200 Waymont Ct,Ste 130,,Lake Mary,FL,32746
Tringas Orthodontics,17.54,+14078762991,Orthodontists,1530 Celebration Blvd,"Ste 411, Fl 4",,Celebration,FL,34747
Oakport Dental,20.75,+14073235340,"General Dentistry,Endodontists,Cosmetic Dentists",2421 S Maple Ave,,,Sanford,FL,32771
Kendrick Orthodontics,14.04,+14078709848,Orthodontists,3280 Greenwald Way N,,,Kissimmee,FL,34741
MyFamily Orthodontics,11.86,+14072583262,Orthodontists,7848 Winter Garden Vineland Rd,Ste 100,,Windermere,FL,34786
"Ardin B. Manalo, D.M.D.",14.2,+14079350027,"General Dentistry,Orthodontists,Cosmetic Dentists",312 W Bass St,,,Kissimmee,FL,34741
Greenberg Dental and Orthodontics,24.86,+14079338222,General Dentistry,1096 Cypress Pkwy,,,Poinciana,FL,34759
Acecare Dental & Orthodontics,14.71,+14075427888,"General Dentistry,Oral Surgeons,Cosmetic Dentists",120 Alexandria Blvd,Ste 20,,Oviedo,FL,32765
Daniel Kathryn M DMD,17.66,+14073332113,General Dentistry,120 International Pkwy,,,Lake Mary,FL,32746
"Michael M Morgan, DMD",30.34,+13527423500,"Endodontists,Cosmetic Dentists,General Dentistry",2140 Lake Eustis Dr,,,Tavares,FL,32778
Affordable Dentures,9.86,+14078773828,Dentists,1163 Blackwood Ave,,,Ocoee,FL,34761
"J Thaddeus Morgan, DMD",17.63,+14073247879,General Dentistry,145 Waymont Ct,,,Lake Mary,FL,32746
Community Health Centers,13.97,+14079058827,"General Dentistry,Pediatric Dentists",210 E 7th St,,,Apopka,FL,32703
Community Health Centers,12.77,+14079058827,"Family Practice,Pediatricians,General Dentistry",13275 W Colonial Dr,,,Winter Garden,FL,34787
Dental Elements,13.96,+14078478000,General Dentistry,701 East Oak St,,Suit B,Kissimmee,FL,34744
Dental Touch At Metrowest,5.27,+14072918108,,2869 Wilshire Dr,Ste 102,,Orlando,FL,32835
Physician Associates of Florida,9.21,+14073817364,"Family Practice,Pediatric Dentists,Podiatrists",800 N Maitland Ave,,,Maitland,FL,32751
St. Luke's Family Dentistry,13.94,+14073669090,"General Dentistry,Cosmetic Dentists",100 Burnsed Pl,Ste 1000,,Oviedo,FL,32765
Sanchez Alberto DMD,17.8,+14073243320,General Dentistry,2910 W Lake Mary Blvd,Ste 101,,Lake Mary,FL,32746
Orlando Regional Medical Center,1.67,+13218415111,Medical Centers,52 W Underwood St,,,Orlando,FL,32806
Cordoba Orthodontics,19.09,+14074449960,Orthodontists,734 Stirling Center Pl,,,Lake Mary,FL,32746
Modern Orthodontics,21.69,+13522421818,Orthodontists,1455 East Highway 50,,,Clermont,FL,34711
Lake Oral & Maxillofacial Surgery,18.74,+14076245113,Oral Surgeons,924 Williston Park Point,,,Lake Mary,FL,32746
Dental Assistant Pioneers Academy,7.27,+14079009338,Specialty Schools,5107 Andrus Ave,,,Orlando,FL,32804
"W Michael Ingalls, DDS",17.56,+14073242090,Pediatric Dentists,245 Waymont Ct,Ste 101,,Lake Mary,FL,32746
UCF Student Health Center,12.7,+14078232701,Medical Centers,Libra Dr,,,Orlando,FL,32816
J. Edward Kennedy Periodontic & Implant Dentistry,18.79,+14078338522,Periodontists,910 Williston Park Pt,,,Lake Mary,FL,32746
Lake Mary Endodontics,18.69,+14073333448,Dentists,440 St Charles Ct,Ste 1000,,Lake Mary,FL,32746
Lopez-Torres Minta DMD,21.48,+14073289492,Dentists,5030 W State Road 46,Ste 1018,,Sanford,FL,32771
"Thomas L Bowers IV, DMD, MD",27.4,+13522403302,"Oral Surgeons,Cosmetic Dentists",2023 W Old US Highway 441,,,Mount Dora,FL,32757
Central Florida Oral & Maxillofacial Surgery PA,13.22,+14079776725,Oral Surgeons,2075 Pine Bluff Pl,,,Oviedo,FL,32765
Aspen Dental,20.85,+14077923987,"General Dentistry,Oral Surgeons,Cosmetic Dentists",1528 Rinehart Rd,,,Sanford,FL,32771
Advanced Faces,21.45,+13522420627,"Oral Surgeons,Cosmetic Surgeons",855 Oakley Seaver Dr,,,Clermont,FL,34711
Fortune Dental,13.79,+14073482002,"Cosmetic Dentists,Endodontists,Periodontists",2324 Fortune Rd,,,Kissimmee,FL,34744
"Levine Hal J, DMD, MD",7.85,+14073526301,Doctors,7932 W Sand Lake Rd,Ste 109,,Orlando,FL,32819
Lall Ravi D DDS,17.07,+14073303801,Dentists,114 Timberlachen Cir,,,Lake Mary,FL,32746
Pediatric Dental Care Of Greater Orlando,12.86,+14079777077,"Pediatric Dentists,Pediatricians",7250 Red Bug Lake Rd,,,Oviedo,FL,32765
Central Florida Orthodontic Specialists,12.73,+14076820883,Orthodontists,990 N State Rd 434,,,Altamonte Springs,FL,32714
Lake Mary Dentistry,19.27,+14076883697,"Endodontists,Orthodontists,Cosmetic Dentists",938 International Pkwy,Ste 1500,,Lake Mary,FL,32746
Little Gators Pediatric Dentistry,12.78,+14073475956,Pediatric Dentists,3650 Winter Garden Vineland Rd,,,Winter Garden,FL,34787
Greenberg Dental & Orthodontics,17.94,+14078921643,"Orthodontists,Pediatric Dentists",4039 13th St,,,Saint Cloud,FL,34769
Savastano & Dunn Orthodontics,12.94,+14078621870,"Orthodontists,Dental Hygienists",2855 W State Rd 434,Ste 1011,,Longwood,FL,32779
"Johnson Lena, DDS",15.13,+14073657482,Cosmetic Dentists,50 Windsormere Way,Ste 1020,,Oviedo,FL,32765
Aspen Dental,28.22,+13527352111,"Cosmetic Dentists,General Dentistry,Oral Surgeons",17264 US Hwy 441,,,Mount Dora,FL,32757
Hertz Amy DMD,21.48,+14073289492,General Dentistry,5030 W State Road 46,Ste 1018,,Sanford,FL,32771
Modern Orthodontics,15.16,+14077032744,Orthodontists,515 N Park Ave,Ste 107,,Apopka,FL,32712
Florida Dental Implant & Aesthetic Center,19.1,+14079229872,"Oral Surgeons,Cosmetic Dentists,Prosthodontists",746 Sterling Center Pl,Ste 1100,,Lake Mary,FL,32746
Economy Dentures,17.48,+14073333508,General Dentistry,890 S Sun Dr,,,Lake Mary,FL,32746
Sage Dental  of Lake Mary,17.6,+14079363400,"Orthodontists,Oral Surgeons,Endodontists",3801 W Lake Mary Blvd,Ste 109,,Lake Mary,FL,32746
Royal Oaks Dental Care,20.63,+13525369644,General Dentistry,2105 Hartwood Marsh Rd,,,Clermont,FL,34711
Ason Maxillofacial Surgery PA,11.09,+14074834939,Oral Surgeons,3172 Bill Beck Blvd,,,Kissimmee,FL,34744
Rawle Orthodontics,18.71,+14076821818,Orthodontists,450 St Charles Ct,Ste 1008,,Lake Mary,FL,32746
Craig C Lewis D D S P A,14.74,+14078462150,Orthodontists,914 Emmett St,,,Kissimmee,FL,34741
Kissimmee Oral Surgery,11.09,+14074834939,Oral Surgeons,3172 Bill Beck Blvd,,,Kissimmee,FL,34744
Oral & Facial Surgery Center,14.07,+14079320883,"Oral Surgeons,Cosmetic Dentists,Cosmetic Surgeons",200 W Oak St,,,Kissimmee,FL,34741
Christie Dental,17.6,+14073021446,Dentists,3801 W Lake Mary Blvd,,,Lake Mary,FL,32746
Orlando Oral and Facial Surgery,18.23,+14073333011,Oral Surgeons,775 Primera Blvd,Ste 1001,,Lake Mary,FL,32746
Amazing Smile Llc,20.79,+14073215010,"General Dentistry,Cosmetic Dentists",2417 S French Ave,,,Sanford,FL,32771
"Lisa Peters-Seppala, DMD",20.24,+14073475772,General Dentistry,2620 E Hwy 50,Ste 100,Citrus Grove Dental Care,Clermont,FL,34711
Mount Dora Modern Dentistry,28.3,+13522703015,"Oral Surgeons,General Dentistry,Cosmetic Dentists",17365 US Hwy 441,,,Eustis,FL,32757
Kissimmee Childrens Dentistry,14.0,+14078700717,Pediatric Dentists,595 Oak Commons Blvd,Ste C,,Kissimmee,FL,34741
Softouch Dental,17.77,+14073231010,"Cosmetic Dentists,Oral Surgeons",3232 W Lake Mary Blvd,Ste 1400,,Lake Mary,FL,32746
Crofton Daniel J MD DDS,22.05,+13522425331,Oral Surgeons,265 Hatteras Ave,,,Clermont,FL,34711
"Anthony J Gulde, DDS PA",28.43,+13526024235,"Cosmetic Dentists,Endodontists",15820 Dora Ave,Ste A,,Tavares,FL,32778
Central Florida Oral & Maxillofacial Surgery PA,22.05,+13522425331,Oral Surgeons,265 Hatteras Ave,,,Clermont,FL,34711
Smile Concepts Orthodontics,15.2,+14079154920,Orthodontists,551 N Park Ave,Ste A,,Apopka,FL,32712
Wortham Orthodontics,21.27,+13523940100,Orthodontists,1755 E Hwy 50,Ste B,,Clermont,FL,34711
Savastano & Dunn Orthodontics  - Lake Mary,18.81,+14078050068,Orthodontists,550 Rinehart Rd,,,Lake Mary,FL,32746
Advanced Dental Care of Mount Dora,28.03,+13527293668,"Cosmetic Dentists,General Dentistry,Endodontists",3555 N Hwy 19A,,,Mount Dora,FL,32757
Greenberg Dental & Orthodontics,22.5,+14073238180,Oral Surgeons,E 1st St,,,Sanford,FL,32771
Beim Orthodontics,17.51,+14073230600,Orthodontists,345 Waymont Ct,,,Lake Mary,FL,32746
lake County Gentle Dentistry,30.89,+13523571212,General Dentistry,600 North Eustis St,,,Eustis,FL,32726
Jennifer S Holt DDS PA,30.44,+13523571900,Dentists,413 E Orange Ave,,,Eustis,FL,32726
"Yurkiewicz Lisa, DMD - Yurkiewicz Orthodontics",21.38,+13522414884,Orthodontists,1655 E Hwy 50,Ste 101,,Clermont,FL,34711
"Oracare Dental, PA",22.16,+14078785888,"Oral Surgeons,Cosmetic Dentists",320 Lexington Green Ln,,,Sanford,FL,32771
Jackson Dentistry and Orthodontics,29.96,+13525892099,"General Dentistry,Cosmetic Dentists,Oral Surgeons",1141 S Eustis St,,,Eustis,FL,32726
Ladley Robert W DMD,30.27,+13527423383,Endodontists,320 W Burleigh Blvd,# A,,Tavares,FL,32778
Mid Florida Pediatric Dentistry,30.04,+13524839183,Pediatric Dentists,1340 E Orange Ave,,,Eustis,FL,32726
Donald David E DDS DDS,14.67,+14079779990,,1390 City View Ctr,,,Oviedo,FL,32765
